,year,sex,education,vocabulary,year_group
20000616,2000,Male,18,8,"(1995,2016]"
19941379,1994,Female,10,6,"[1974,1995]"
19760603,1976,Female,12,4,"[1974,1995]"
20081247,2008,Female,7,5,"(1995,2016]"
19910396,1991,Female,12,6,"[1974,1995]"
20160731,2016,Female,13,5,"(1995,2016]"
19900794,1990,Female,12,6,"[1974,1995]"
20062796,2006,Male,14,7,"(1995,2016]"
20081230,2008,Male,18,6,"(1995,2016]"
20120259,2012,Female,16,10,"(1995,2016]"
19820081,1982,Female,8,4,"[1974,1995]"
19840165,1984,Female,14,8,"[1974,1995]"
19911303,1991,Female,14,5,"[1974,1995]"
19821501,1982,Female,11,3,"[1974,1995]"
19961200,1996,Male,12,4,"(1995,2016]"
20081839,2008,Female,13,5,"(1995,2016]"
20100302,2010,Male,20,4,"(1995,2016]"
20001485,2000,Female,9,5,"(1995,2016]"
19780972,1978,Female,12,7,"[1974,1995]"
19870641,1987,Female,15,5,"[1974,1995]"
20080627,2008,Male,12,6,"(1995,2016]"
19821492,1982,Female,12,7,"[1974,1995]"
20140456,2014,Female,12,6,"(1995,2016]"
19930351,1993,Female,12,5,"[1974,1995]"
20100027,2010,Female,15,5,"(1995,2016]"
19900331,1990,Male,15,10,"[1974,1995]"
19962895,1996,Female,13,3,"(1995,2016]"
19760013,1976,Female,11,1,"[1974,1995]"
20042605,2004,Male,14,7,"(1995,2016]"
19760348,1976,Female,16,9,"[1974,1995]"
19740118,1974,Female,12,7,"[1974,1995]"
20141094,2014,Female,15,4,"(1995,2016]"
20081272,2008,Female,16,6,"(1995,2016]"
20161960,2016,Male,16,8,"(1995,2016]"
20001401,2000,Male,12,7,"(1995,2016]"
19981229,1998,Male,13,4,"(1995,2016]"
19980302,1998,Female,12,5,"(1995,2016]"
19981434,1998,Male,14,7,"(1995,2016]"
19880461,1988,Male,4,2,"[1974,1995]"
19741045,1974,Female,16,5,"[1974,1995]"
19840310,1984,Female,8,6,"[1974,1995]"
19740390,1974,Male,18,7,"[1974,1995]"
20101671,2010,Female,17,6,"(1995,2016]"
20141703,2014,Female,13,8,"(1995,2016]"
19740787,1974,Female,16,10,"[1974,1995]"
20141030,2014,Male,14,7,"(1995,2016]"
19820892,1982,Male,13,7,"[1974,1995]"
19740493,1974,Female,13,6,"[1974,1995]"
20041543,2004,Male,14,6,"(1995,2016]"
19840391,1984,Male,18,8,"[1974,1995]"
20141512,2014,Male,9,3,"(1995,2016]"
19781041,1978,Male,12,9,"[1974,1995]"
20000133,2000,Male,19,10,"(1995,2016]"
19891479,1989,Female,8,5,"[1974,1995]"
20142067,2014,Male,12,6,"(1995,2016]"
20121121,2012,Female,12,3,"(1995,2016]"
19961137,1996,Male,16,10,"(1995,2016]"
19900872,1990,Female,12,7,"[1974,1995]"
19880924,1988,Male,16,7,"[1974,1995]"
19820467,1982,Male,13,6,"[1974,1995]"
20141449,2014,Male,9,4,"(1995,2016]"
19760609,1976,Female,8,10,"[1974,1995]"
20160796,2016,Female,12,4,"(1995,2016]"
19940066,1994,Male,12,8,"[1974,1995]"
20162607,2016,Male,16,4,"(1995,2016]"
19870426,1987,Female,16,9,"[1974,1995]"
19982149,1998,Female,13,7,"(1995,2016]"
20160338,2016,Female,18,7,"(1995,2016]"
20142236,2014,Male,16,9,"(1995,2016]"
19760376,1976,Male,16,5,"[1974,1995]"
19880759,1988,Male,7,10,"[1974,1995]"
20141346,2014,Male,16,5,"(1995,2016]"
19962789,1996,Male,16,10,"(1995,2016]"
19740320,1974,Male,13,5,"[1974,1995]"
19840755,1984,Female,12,2,"[1974,1995]"
20121581,2012,Female,20,8,"(1995,2016]"
19931103,1993,Female,14,7,"[1974,1995]"
19962329,1996,Female,10,7,"(1995,2016]"
20064472,2006,Male,12,7,"(1995,2016]"
20060798,2006,Female,20,5,"(1995,2016]"
19820812,1982,Female,16,7,"[1974,1995]"
20142369,2014,Male,16,8,"(1995,2016]"
19780516,1978,Female,13,5,"[1974,1995]"
19941913,1994,Male,12,4,"[1974,1995]"
19780282,1978,Male,16,6,"[1974,1995]"
19961175,1996,Female,18,7,"(1995,2016]"
19780461,1978,Female,12,3,"[1974,1995]"
19940372,1994,Male,16,7,"[1974,1995]"
20001338,2000,Female,13,6,"(1995,2016]"
19982206,1998,Female,12,3,"(1995,2016]"
20042793,2004,Female,12,8,"(1995,2016]"
19821377,1982,Female,12,10,"[1974,1995]"
19761669,1976,Female,8,7,"[1974,1995]"
20063982,2006,Male,5,4,"(1995,2016]"
19761647,1976,Male,12,6,"[1974,1995]"
19841159,1984,Female,12,6,"[1974,1995]"
19980470,1998,Female,14,6,"(1995,2016]"
19930958,1993,Female,10,0,"[1974,1995]"
20101242,2010,Male,18,9,"(1995,2016]"
20061200,2006,Female,12,6,"(1995,2016]"
19870504,1987,Male,12,8,"[1974,1995]"
19900791,1990,Female,12,3,"[1974,1995]"
20121255,2012,Female,12,5,"(1995,2016]"
19780494,1978,Female,12,8,"[1974,1995]"
19871006,1987,Female,8,3,"[1974,1995]"
20160725,2016,Male,12,6,"(1995,2016]"
19911145,1991,Female,11,3,"[1974,1995]"
20160019,2016,Male,18,5,"(1995,2016]"
19941431,1994,Female,13,6,"[1974,1995]"
20161387,2016,Female,16,9,"(1995,2016]"
19981294,1998,Male,10,6,"(1995,2016]"
19890501,1989,Male,13,6,"[1974,1995]"
20081793,2008,Female,11,2,"(1995,2016]"
19931045,1993,Male,11,7,"[1974,1995]"
19901006,1990,Female,20,3,"[1974,1995]"
19891187,1989,Female,12,7,"[1974,1995]"
19781445,1978,Female,12,4,"[1974,1995]"
19941635,1994,Male,12,5,"[1974,1995]"
20100693,2010,Female,14,3,"(1995,2016]"
19931287,1993,Female,12,7,"[1974,1995]"
20041559,2004,Female,16,5,"(1995,2016]"
19741116,1974,Male,8,2,"[1974,1995]"
19871452,1987,Male,13,7,"[1974,1995]"
20141929,2014,Female,17,5,"(1995,2016]"
19760437,1976,Female,5,3,"[1974,1995]"
19961388,1996,Female,16,7,"(1995,2016]"
19931306,1993,Female,16,8,"[1974,1995]"
20121741,2012,Female,12,5,"(1995,2016]"
19940096,1994,Male,20,9,"[1974,1995]"
19942045,1994,Female,17,9,"[1974,1995]"
20081301,2008,Female,14,9,"(1995,2016]"
19891241,1989,Female,16,8,"[1974,1995]"
19870436,1987,Female,12,6,"[1974,1995]"
20000610,2000,Female,12,7,"(1995,2016]"
19780114,1978,Male,12,7,"[1974,1995]"
19900976,1990,Male,16,7,"[1974,1995]"
19780946,1978,Female,7,6,"[1974,1995]"
20160967,2016,Male,16,6,"(1995,2016]"
20062721,2006,Female,13,6,"(1995,2016]"
19741206,1974,Male,12,5,"[1974,1995]"
19870775,1987,Male,12,1,"[1974,1995]"
19942714,1994,Male,11,4,"[1974,1995]"
19741084,1974,Female,12,7,"[1974,1995]"
20002596,2000,Male,12,4,"(1995,2016]"
20063868,2006,Male,12,5,"(1995,2016]"
20080866,2008,Male,11,6,"(1995,2016]"
19761107,1976,Male,18,9,"[1974,1995]"
19960551,1996,Female,12,3,"(1995,2016]"
19980740,1998,Male,20,10,"(1995,2016]"
19900924,1990,Female,14,8,"[1974,1995]"
20063798,2006,Female,11,3,"(1995,2016]"
20161235,2016,Male,12,8,"(1995,2016]"
20061857,2006,Male,13,7,"(1995,2016]"
19760668,1976,Female,13,6,"[1974,1995]"
20080299,2008,Male,14,4,"(1995,2016]"
20101764,2010,Female,12,2,"(1995,2016]"
20080658,2008,Male,16,6,"(1995,2016]"
20101440,2010,Female,1,2,"(1995,2016]"
19780159,1978,Male,11,3,"[1974,1995]"
20141614,2014,Female,14,6,"(1995,2016]"
20140789,2014,Male,20,6,"(1995,2016]"
19960314,1996,Female,12,2,"(1995,2016]"
19940598,1994,Female,12,5,"[1974,1995]"
20064031,2006,Female,9,8,"(1995,2016]"
19780701,1978,Male,7,5,"[1974,1995]"
19960341,1996,Male,17,3,"(1995,2016]"
20041479,2004,Female,12,7,"(1995,2016]"
20100089,2010,Male,12,6,"(1995,2016]"
19761206,1976,Male,10,1,"[1974,1995]"
19940913,1994,Female,14,7,"[1974,1995]"
20081805,2008,Male,11,5,"(1995,2016]"
20002475,2000,Female,12,7,"(1995,2016]"
19941709,1994,Female,14,10,"[1974,1995]"
19930378,1993,Female,12,9,"[1974,1995]"
20140071,2014,Male,14,7,"(1995,2016]"
20063283,2006,Male,19,10,"(1995,2016]"
19981493,1998,Female,14,5,"(1995,2016]"
20121114,2012,Female,14,7,"(1995,2016]"
19820705,1982,Male,8,1,"[1974,1995]"
19820676,1982,Male,8,7,"[1974,1995]"
20100410,2010,Male,12,2,"(1995,2016]"
19740370,1974,Male,12,4,"[1974,1995]"
20141528,2014,Male,9,6,"(1995,2016]"
19871426,1987,Female,7,1,"[1974,1995]"
19942882,1994,Male,14,6,"[1974,1995]"
20160028,2016,Male,14,7,"(1995,2016]"
19761441,1976,Male,9,9,"[1974,1995]"
19880513,1988,Male,16,7,"[1974,1995]"
20162706,2016,Female,16,6,"(1995,2016]"
20162016,2016,Male,15,8,"(1995,2016]"
20161183,2016,Female,15,7,"(1995,2016]"
19960355,1996,Female,11,6,"(1995,2016]"
19780462,1978,Male,10,6,"[1974,1995]"
19940679,1994,Female,14,8,"[1974,1995]"
19761230,1976,Female,12,6,"[1974,1995]"
19962152,1996,Female,18,7,"(1995,2016]"
19940953,1994,Male,20,5,"[1974,1995]"
19960840,1996,Female,14,7,"(1995,2016]"
19942448,1994,Female,13,5,"[1974,1995]"
19741416,1974,Male,8,6,"[1974,1995]"
19962534,1996,Male,17,7,"(1995,2016]"
19911091,1991,Male,15,8,"[1974,1995]"
19761125,1976,Female,12,6,"[1974,1995]"
20162577,2016,Male,13,6,"(1995,2016]"
20120801,2012,Female,13,5,"(1995,2016]"
19871184,1987,Female,8,3,"[1974,1995]"
19941261,1994,Male,12,6,"[1974,1995]"
19820702,1982,Female,7,1,"[1974,1995]"
20141238,2014,Female,12,4,"(1995,2016]"
20040715,2004,Female,9,6,"(1995,2016]"
19941296,1994,Female,10,5,"[1974,1995]"
19740759,1974,Female,16,7,"[1974,1995]"
19961927,1996,Male,15,2,"(1995,2016]"
19960127,1996,Female,12,5,"(1995,2016]"
20060524,2006,Male,12,6,"(1995,2016]"
20161005,2016,Male,16,7,"(1995,2016]"
20120957,2012,Female,12,6,"(1995,2016]"
19982395,1998,Female,12,5,"(1995,2016]"
20002108,2000,Female,12,5,"(1995,2016]"
19900983,1990,Female,10,6,"[1974,1995]"
19821019,1982,Female,15,9,"[1974,1995]"
20060181,2006,Male,16,7,"(1995,2016]"
19740089,1974,Female,12,6,"[1974,1995]"
19781480,1978,Male,8,5,"[1974,1995]"
19821338,1982,Male,2,3,"[1974,1995]"
19740879,1974,Female,14,9,"[1974,1995]"
20061237,2006,Male,10,8,"(1995,2016]"
19870359,1987,Male,12,5,"[1974,1995]"
19840058,1984,Female,9,3,"[1974,1995]"
19761306,1976,Male,14,5,"[1974,1995]"
19740639,1974,Male,8,5,"[1974,1995]"
19890844,1989,Male,12,6,"[1974,1995]"
20060458,2006,Male,12,5,"(1995,2016]"
19962755,1996,Female,12,2,"(1995,2016]"
19980675,1998,Female,13,5,"(1995,2016]"
19910717,1991,Female,14,6,"[1974,1995]"
19941488,1994,Male,16,6,"[1974,1995]"
19781224,1978,Male,15,7,"[1974,1995]"
19781082,1978,Male,18,10,"[1974,1995]"
19880935,1988,Male,12,2,"[1974,1995]"
19820450,1982,Female,19,8,"[1974,1995]"
19761684,1976,Female,12,5,"[1974,1995]"
19760028,1976,Female,8,6,"[1974,1995]"
20000153,2000,Male,14,7,"(1995,2016]"
19911404,1991,Female,8,5,"[1974,1995]"
19820002,1982,Female,12,5,"[1974,1995]"
20161778,2016,Female,12,5,"(1995,2016]"
20160742,2016,Female,13,3,"(1995,2016]"
19890441,1989,Male,18,6,"[1974,1995]"
19940787,1994,Female,16,10,"[1974,1995]"
19930826,1993,Male,18,8,"[1974,1995]"
20101593,2010,Female,17,8,"(1995,2016]"
20042239,2004,Female,12,8,"(1995,2016]"
19761437,1976,Male,8,8,"[1974,1995]"
20120387,2012,Female,14,6,"(1995,2016]"
20041846,2004,Female,13,9,"(1995,2016]"
19941342,1994,Male,12,5,"[1974,1995]"
20000109,2000,Male,16,6,"(1995,2016]"
19740131,1974,Male,11,1,"[1974,1995]"
20141913,2014,Male,12,1,"(1995,2016]"
19841197,1984,Female,12,5,"[1974,1995]"
20141705,2014,Male,11,6,"(1995,2016]"
20162216,2016,Male,14,7,"(1995,2016]"
19980550,1998,Female,11,3,"(1995,2016]"
19942455,1994,Male,9,3,"[1974,1995]"
19961206,1996,Female,13,7,"(1995,2016]"
20142152,2014,Male,12,6,"(1995,2016]"
20081102,2008,Female,14,6,"(1995,2016]"
20040472,2004,Female,20,7,"(1995,2016]"
19931243,1993,Male,17,5,"[1974,1995]"
20141179,2014,Female,12,4,"(1995,2016]"
19780595,1978,Male,13,6,"[1974,1995]"
20140197,2014,Female,11,3,"(1995,2016]"
20140680,2014,Female,15,4,"(1995,2016]"
19900242,1990,Male,9,8,"[1974,1995]"
19961749,1996,Male,12,5,"(1995,2016]"
20140248,2014,Male,12,5,"(1995,2016]"
20041516,2004,Female,8,4,"(1995,2016]"
19840062,1984,Female,15,10,"[1974,1995]"
19901000,1990,Male,20,10,"[1974,1995]"
19880280,1988,Female,11,7,"[1974,1995]"
20100533,2010,Female,16,6,"(1995,2016]"
19823211,1982,Male,10,7,"[1974,1995]"
19962319,1996,Female,14,6,"(1995,2016]"
20101441,2010,Male,4,5,"(1995,2016]"
19910657,1991,Female,15,7,"[1974,1995]"
19740656,1974,Female,12,8,"[1974,1995]"
20081065,2008,Male,12,5,"(1995,2016]"
20161604,2016,Female,14,7,"(1995,2016]"
19870810,1987,Female,12,4,"[1974,1995]"
19870707,1987,Female,12,1,"[1974,1995]"
20001981,2000,Female,12,8,"(1995,2016]"
20162745,2016,Female,15,7,"(1995,2016]"
20080859,2008,Female,10,6,"(1995,2016]"
20120316,2012,Male,20,9,"(1995,2016]"
19942194,1994,Female,8,6,"[1974,1995]"
19761477,1976,Male,12,8,"[1974,1995]"
20142466,2014,Female,14,4,"(1995,2016]"
19880949,1988,Male,10,6,"[1974,1995]"
19781528,1978,Female,10,0,"[1974,1995]"
19760149,1976,Female,16,5,"[1974,1995]"
19841357,1984,Female,12,5,"[1974,1995]"
19930068,1993,Female,16,5,"[1974,1995]"
20001822,2000,Female,18,9,"(1995,2016]"
19872205,1987,Female,12,4,"[1974,1995]"
19890653,1989,Male,19,10,"[1974,1995]"
20120899,2012,Female,12,6,"(1995,2016]"
19910684,1991,Male,17,10,"[1974,1995]"
19780021,1978,Female,10,3,"[1974,1995]"
20042611,2004,Male,14,6,"(1995,2016]"
19760394,1976,Female,12,7,"[1974,1995]"
19871370,1987,Female,5,2,"[1974,1995]"
20160376,2016,Female,16,7,"(1995,2016]"
19870460,1987,Female,14,7,"[1974,1995]"
19930719,1993,Male,14,6,"[1974,1995]"
19871400,1987,Male,5,3,"[1974,1995]"
19981252,1998,Female,12,6,"(1995,2016]"
19872068,1987,Male,14,7,"[1974,1995]"
19982010,1998,Female,16,7,"(1995,2016]"
20162620,2016,Female,10,4,"(1995,2016]"
19962637,1996,Female,12,5,"(1995,2016]"
19760608,1976,Female,8,6,"[1974,1995]"
19910372,1991,Female,18,10,"[1974,1995]"
20101395,2010,Female,11,2,"(1995,2016]"
19870296,1987,Female,16,9,"[1974,1995]"
19761431,1976,Male,14,6,"[1974,1995]"
19740302,1974,Female,12,9,"[1974,1995]"
19820826,1982,Female,12,5,"[1974,1995]"
20062012,2006,Female,16,7,"(1995,2016]"
19890109,1989,Female,7,2,"[1974,1995]"
20160979,2016,Female,12,5,"(1995,2016]"
19740780,1974,Male,14,9,"[1974,1995]"
19821268,1982,Female,12,5,"[1974,1995]"
20121172,2012,Female,16,8,"(1995,2016]"
20120597,2012,Male,16,8,"(1995,2016]"
20100785,2010,Female,11,5,"(1995,2016]"
20001165,2000,Female,15,8,"(1995,2016]"
19871288,1987,Female,12,9,"[1974,1995]"
19962674,1996,Female,19,7,"(1995,2016]"
19740383,1974,Female,15,10,"[1974,1995]"
20041466,2004,Male,17,6,"(1995,2016]"
19900676,1990,Male,16,6,"[1974,1995]"
20062794,2006,Male,5,3,"(1995,2016]"
19891363,1989,Male,4,5,"[1974,1995]"
19962476,1996,Female,14,7,"(1995,2016]"
19741271,1974,Male,9,4,"[1974,1995]"
19980655,1998,Female,12,4,"(1995,2016]"
20062829,2006,Male,16,7,"(1995,2016]"
19930940,1993,Female,12,6,"[1974,1995]"
19823149,1982,Female,12,6,"[1974,1995]"
20061385,2006,Female,13,6,"(1995,2016]"
19880672,1988,Female,12,8,"[1974,1995]"
19930037,1993,Female,12,4,"[1974,1995]"
20080681,2008,Female,12,2,"(1995,2016]"
19740872,1974,Female,16,10,"[1974,1995]"
20101371,2010,Male,12,6,"(1995,2016]"
19881395,1988,Male,13,10,"[1974,1995]"
20162355,2016,Male,16,7,"(1995,2016]"
19890990,1989,Male,16,8,"[1974,1995]"
19870015,1987,Male,15,6,"[1974,1995]"
19740110,1974,Female,16,6,"[1974,1995]"
19910712,1991,Male,14,5,"[1974,1995]"
20121787,2012,Male,12,4,"(1995,2016]"
19821094,1982,Male,13,7,"[1974,1995]"
20040103,2004,Female,16,7,"(1995,2016]"
20160460,2016,Male,12,8,"(1995,2016]"
19780140,1978,Male,12,5,"[1974,1995]"
19761138,1976,Female,12,5,"[1974,1995]"
20160792,2016,Male,11,2,"(1995,2016]"
20121654,2012,Male,12,8,"(1995,2016]"
20101181,2010,Female,16,8,"(1995,2016]"
19891015,1989,Female,14,3,"[1974,1995]"
19961270,1996,Female,13,7,"(1995,2016]"
20121331,2012,Male,16,7,"(1995,2016]"
19780881,1978,Female,12,6,"[1974,1995]"
19820944,1982,Male,12,4,"[1974,1995]"
19870171,1987,Female,18,3,"[1974,1995]"
20141602,2014,Female,12,7,"(1995,2016]"
20100968,2010,Female,12,6,"(1995,2016]"
19891011,1989,Male,14,5,"[1974,1995]"
19760658,1976,Female,10,5,"[1974,1995]"
20142072,2014,Female,16,8,"(1995,2016]"
20042296,2004,Female,13,7,"(1995,2016]"
19890768,1989,Female,12,2,"[1974,1995]"
19940984,1994,Female,14,6,"[1974,1995]"
19740136,1974,Male,10,3,"[1974,1995]"
19870354,1987,Male,12,4,"[1974,1995]"
20121280,2012,Female,12,7,"(1995,2016]"
20121033,2012,Female,16,9,"(1995,2016]"
19740393,1974,Female,18,9,"[1974,1995]"
19941560,1994,Female,9,4,"[1974,1995]"
19760375,1976,Male,12,5,"[1974,1995]"
20101026,2010,Female,20,9,"(1995,2016]"
20101730,2010,Female,12,6,"(1995,2016]"
20061697,2006,Female,16,10,"(1995,2016]"
20081530,2008,Female,12,6,"(1995,2016]"
19872294,1987,Male,0,3,"[1974,1995]"
19761007,1976,Male,13,5,"[1974,1995]"
20162095,2016,Female,17,10,"(1995,2016]"
20040947,2004,Male,12,5,"(1995,2016]"
19740496,1974,Male,13,7,"[1974,1995]"
19841368,1984,Female,15,8,"[1974,1995]"
20162113,2016,Female,14,8,"(1995,2016]"
20140413,2014,Female,12,7,"(1995,2016]"
19940223,1994,Female,16,7,"[1974,1995]"
19960222,1996,Male,20,3,"(1995,2016]"
20001613,2000,Female,11,2,"(1995,2016]"
19930880,1993,Male,10,5,"[1974,1995]"
19980515,1998,Female,3,4,"(1995,2016]"
19740932,1974,Female,10,4,"[1974,1995]"
19780497,1978,Female,7,4,"[1974,1995]"
19881380,1988,Female,17,7,"[1974,1995]"
20142252,2014,Female,12,3,"(1995,2016]"
19910951,1991,Female,17,8,"[1974,1995]"
19961429,1996,Female,16,10,"(1995,2016]"
20140182,2014,Female,12,6,"(1995,2016]"
19870602,1987,Female,15,6,"[1974,1995]"
19871245,1987,Male,14,4,"[1974,1995]"
19880057,1988,Female,16,7,"[1974,1995]"
20063436,2006,Male,9,4,"(1995,2016]"
20141360,2014,Male,12,5,"(1995,2016]"
20160462,2016,Female,18,9,"(1995,2016]"
20101459,2010,Male,12,6,"(1995,2016]"
19941791,1994,Male,11,7,"[1974,1995]"
19910941,1991,Female,12,8,"[1974,1995]"
19740660,1974,Female,12,4,"[1974,1995]"
19910497,1991,Male,12,8,"[1974,1995]"
20000515,2000,Male,10,6,"(1995,2016]"
19740501,1974,Male,9,5,"[1974,1995]"
20002815,2000,Male,11,5,"(1995,2016]"
19942707,1994,Female,12,5,"[1974,1995]"
20002331,2000,Female,8,4,"(1995,2016]"
19980944,1998,Male,14,9,"(1995,2016]"
19841337,1984,Female,12,6,"[1974,1995]"
20001344,2000,Female,16,8,"(1995,2016]"
20060672,2006,Male,15,6,"(1995,2016]"
19961907,1996,Female,0,0,"(1995,2016]"
20121247,2012,Female,12,6,"(1995,2016]"
19981476,1998,Female,16,5,"(1995,2016]"
20161092,2016,Female,12,5,"(1995,2016]"
19980568,1998,Female,14,8,"(1995,2016]"
20042797,2004,Female,12,4,"(1995,2016]"
20081439,2008,Male,16,7,"(1995,2016]"
19841186,1984,Male,13,9,"[1974,1995]"
20121256,2012,Male,14,8,"(1995,2016]"
20121626,2012,Female,11,3,"(1995,2016]"
20160188,2016,Male,12,7,"(1995,2016]"
19900910,1990,Male,12,3,"[1974,1995]"
19962657,1996,Female,8,6,"(1995,2016]"
19890632,1989,Female,13,5,"[1974,1995]"
20041012,2004,Female,8,2,"(1995,2016]"
20141213,2014,Female,12,6,"(1995,2016]"
19890682,1989,Male,14,5,"[1974,1995]"
20000059,2000,Female,16,8,"(1995,2016]"
20001944,2000,Female,12,9,"(1995,2016]"
19891119,1989,Male,19,7,"[1974,1995]"
20000235,2000,Female,13,4,"(1995,2016]"
19760146,1976,Male,8,7,"[1974,1995]"
20041526,2004,Male,14,6,"(1995,2016]"
19981017,1998,Female,16,6,"(1995,2016]"
20001918,2000,Male,15,10,"(1995,2016]"
19840786,1984,Female,12,6,"[1974,1995]"
20061772,2006,Male,12,2,"(1995,2016]"
19820878,1982,Female,13,7,"[1974,1995]"
19940653,1994,Male,18,9,"[1974,1995]"
20081549,2008,Female,19,6,"(1995,2016]"
19960963,1996,Female,14,9,"(1995,2016]"
19760190,1976,Male,13,5,"[1974,1995]"
19941214,1994,Male,11,6,"[1974,1995]"
19870545,1987,Female,12,5,"[1974,1995]"
20101595,2010,Female,16,9,"(1995,2016]"
19821227,1982,Female,12,6,"[1974,1995]"
19982063,1998,Male,12,9,"(1995,2016]"
20161610,2016,Female,12,4,"(1995,2016]"
20042667,2004,Female,16,6,"(1995,2016]"
20160876,2016,Female,15,6,"(1995,2016]"
20100826,2010,Female,12,4,"(1995,2016]"
19980738,1998,Male,8,4,"(1995,2016]"
19910622,1991,Male,8,8,"[1974,1995]"
19872147,1987,Female,13,6,"[1974,1995]"
20040267,2004,Female,14,6,"(1995,2016]"
19962340,1996,Male,8,4,"(1995,2016]"
20160767,2016,Female,13,7,"(1995,2016]"
19901288,1990,Male,16,10,"[1974,1995]"
19820545,1982,Female,20,8,"[1974,1995]"
19880770,1988,Female,15,6,"[1974,1995]"
20000253,2000,Female,14,10,"(1995,2016]"
19941251,1994,Female,12,3,"[1974,1995]"
19761556,1976,Male,12,1,"[1974,1995]"
20101536,2010,Male,14,5,"(1995,2016]"
20062964,2006,Female,12,5,"(1995,2016]"
20161164,2016,Female,12,4,"(1995,2016]"
20101737,2010,Male,16,6,"(1995,2016]"
20140928,2014,Female,15,7,"(1995,2016]"
19900604,1990,Male,18,9,"[1974,1995]"
19881111,1988,Male,16,6,"[1974,1995]"
19841409,1984,Female,9,2,"[1974,1995]"
19741159,1974,Female,12,8,"[1974,1995]"
19781500,1978,Female,14,6,"[1974,1995]"
19981549,1998,Male,16,4,"(1995,2016]"
20160093,2016,Male,19,9,"(1995,2016]"
19931156,1993,Male,12,5,"[1974,1995]"
19880407,1988,Female,8,4,"[1974,1995]"
20060350,2006,Female,16,9,"(1995,2016]"
20041167,2004,Female,15,7,"(1995,2016]"
19960049,1996,Male,12,5,"(1995,2016]"
19941188,1994,Female,17,8,"[1974,1995]"
19780119,1978,Male,12,6,"[1974,1995]"
20081765,2008,Male,12,3,"(1995,2016]"
19960174,1996,Female,19,7,"(1995,2016]"
20142439,2014,Female,16,5,"(1995,2016]"
19900515,1990,Female,14,8,"[1974,1995]"
19930551,1993,Female,13,9,"[1974,1995]"
20063727,2006,Female,13,6,"(1995,2016]"
19931048,1993,Female,9,3,"[1974,1995]"
20080880,2008,Female,10,6,"(1995,2016]"
20161087,2016,Female,12,4,"(1995,2016]"
19900878,1990,Female,8,2,"[1974,1995]"
19870955,1987,Male,16,8,"[1974,1995]"
19942578,1994,Female,12,5,"[1974,1995]"
19820047,1982,Male,14,9,"[1974,1995]"
19981826,1998,Male,14,6,"(1995,2016]"
20140243,2014,Female,19,7,"(1995,2016]"
20160871,2016,Female,18,9,"(1995,2016]"
19761416,1976,Male,14,8,"[1974,1995]"
19821476,1982,Female,16,6,"[1974,1995]"
19760551,1976,Female,12,6,"[1974,1995]"
19781446,1978,Male,14,5,"[1974,1995]"
19840380,1984,Female,11,1,"[1974,1995]"
19871128,1987,Male,16,4,"[1974,1995]"
20041337,2004,Female,20,8,"(1995,2016]"
20064275,2006,Male,15,10,"(1995,2016]"
19871387,1987,Female,15,5,"[1974,1995]"
19820996,1982,Male,12,7,"[1974,1995]"
20064360,2006,Female,12,3,"(1995,2016]"
19761010,1976,Female,12,9,"[1974,1995]"
20061272,2006,Female,16,8,"(1995,2016]"
20040780,2004,Female,16,7,"(1995,2016]"
20101336,2010,Female,9,1,"(1995,2016]"
19741245,1974,Male,9,2,"[1974,1995]"
19761253,1976,Female,11,6,"[1974,1995]"
20100942,2010,Male,12,2,"(1995,2016]"
20121237,2012,Female,15,9,"(1995,2016]"
20121264,2012,Male,15,5,"(1995,2016]"
19930629,1993,Male,14,8,"[1974,1995]"
20120944,2012,Male,12,6,"(1995,2016]"
19740132,1974,Male,13,5,"[1974,1995]"
19761283,1976,Female,11,5,"[1974,1995]"
20001381,2000,Female,12,5,"(1995,2016]"
20160038,2016,Female,16,7,"(1995,2016]"
20000654,2000,Female,11,5,"(1995,2016]"
19961539,1996,Male,6,4,"(1995,2016]"
19781491,1978,Female,12,4,"[1974,1995]"
19872034,1987,Male,12,8,"[1974,1995]"
19870653,1987,Female,12,10,"[1974,1995]"
19962330,1996,Male,12,5,"(1995,2016]"
20121382,2012,Female,12,6,"(1995,2016]"
20121301,2012,Female,16,9,"(1995,2016]"
19910137,1991,Male,10,7,"[1974,1995]"
20100561,2010,Male,11,5,"(1995,2016]"
19740415,1974,Male,8,8,"[1974,1995]"
20140426,2014,Male,15,8,"(1995,2016]"
19820695,1982,Female,13,6,"[1974,1995]"
20162260,2016,Female,16,5,"(1995,2016]"
19961486,1996,Male,13,5,"(1995,2016]"
20002319,2000,Female,13,10,"(1995,2016]"
19941299,1994,Female,14,7,"[1974,1995]"
19942182,1994,Female,12,5,"[1974,1995]"
20120377,2012,Female,14,10,"(1995,2016]"
19740526,1974,Male,5,4,"[1974,1995]"
20160516,2016,Male,12,5,"(1995,2016]"
19780942,1978,Male,12,7,"[1974,1995]"
20002339,2000,Male,12,2,"(1995,2016]"
19960124,1996,Male,16,4,"(1995,2016]"
20101590,2010,Female,14,6,"(1995,2016]"
19962371,1996,Female,14,6,"(1995,2016]"
20081551,2008,Female,16,9,"(1995,2016]"
19901132,1990,Female,15,6,"[1974,1995]"
19900892,1990,Male,16,8,"[1974,1995]"
19891203,1989,Male,10,4,"[1974,1995]"
20002056,2000,Female,16,8,"(1995,2016]"
19940042,1994,Female,18,10,"[1974,1995]"
